rnn_type,num_layers,hidden_size,dropout,bidirectional,loss,acc,f1,training_time
gru,4,400,0.8,False,2.9766949489044237,0.75,0.7038043478260869,509.5001640319824
gru,4,400,0.8,True,2.799996749098806,0.7672018348623854,0.7533414337788579,977.8738648891449
lstm,4,400,0.2,False,3.2128811164625284,0.7477064220183486,0.7058823529411765,657.847051858902
lstm,4,400,0.2,True,3.1353628837634995,0.7534403669724771,0.7218628719275549,1362.9166150093079
lstm,4,400,0.5,False,2.9156746486467893,0.7626146788990825,0.7503015681544029,650.9892728328705
lstm,4,400,0.5,True,3.3054188756006107,0.7637614678899083,0.7345360824742269,1359.7093069553375
lstm,4,400,0.8,False,3.3617587962316002,0.7511467889908257,0.7095046854082999,623.4094421863556
lstm,4,400,0.8,True,3.3137830080730493,0.7660550458715596,0.7536231884057971,1357.9261438846588
rnn,6,150,0.2,False,2.1046164364951045,0.7729357798165137,0.771889400921659,189.29470920562744
rnn,6,150,0.2,True,3.25568459715162,0.7178899082568807,0.6583333333333333,274.6595878601074
rnn,6,150,0.5,False,2.5421391251145127,0.7396788990825688,0.7274909963985594,180.98738265037537
rnn,6,150,0.5,True,2.6063617872340337,0.7419724770642202,0.7104247104247104,269.19736766815186
rnn,6,150,0.8,False,0.6950213611125946,0.5091743119266054,0.0,179.94741296768188
rnn,6,150,0.8,True,0.6956784810338702,0.5091743119266054,0.0,268.1682744026184
gru,6,150,0.2,False,2.8670754428395804,0.7522935779816514,0.7194805194805195,297.62233710289
gru,6,150,0.2,True,2.740378681568651,0.7557339449541285,0.7279693486590039,525.7348463535309
gru,6,150,0.5,False,2.7797066707696234,0.7454128440366973,0.7032085561497327,298.2800145149231
gru,6,150,0.5,True,2.4267899936863353,0.7213302752293578,0.6473149492017417,525.7543215751648
gru,6,150,0.8,False,3.338130228866898,0.7259174311926605,0.6571018651362984,298.71890091896057
gru,6,150,0.8,True,3.5437049827565454,0.7178899082568807,0.6505681818181818,526.5708103179932
lstm,6,150,0.2,False,2.7409094106242264,0.768348623853211,0.7468671679197995,310.4951994419098
lstm,6,150,0.2,True,2.9455208368599415,0.7534403669724771,0.7196870925684485,558.9283111095428
lstm,6,150,0.5,False,2.96959341454697,0.7557339449541285,0.7258687258687259,310.4119005203247
lstm,6,150,0.5,True,2.811541839369592,0.7488532110091743,0.7231352718078382,558.6760828495026
lstm,6,150,0.8,False,2.8178168440769826,0.7603211009174312,0.7317073170731707,310.67760848999023
lstm,6,150,0.8,True,2.610135559524809,0.7626146788990825,0.7447595561035758,559.6962678432465
rnn,6,200,0.2,False,2.3129484387380734,0.7580275229357798,0.7249022164276402,199.46074509620667
rnn,6,200,0.2,True,2.445337865768774,0.7488532110091743,0.7408284023668639,299.39756178855896
rnn,6,200,0.5,False,2.313199587107062,0.7454128440366973,0.7292682926829268,195.69000601768494
rnn,6,200,0.5,True,2.293049618052854,0.768348623853211,0.7566265060240964,300.08189725875854
rnn,6,200,0.8,False,1.9955338897878911,0.7660550458715596,0.7616822429906542,192.46101188659668
rnn,6,200,0.8,True,0.693828114441463,0.5091743119266054,0.0,297.57678985595703
gru,6,200,0.2,False,2.8155940647337894,0.7396788990825688,0.6825174825174826,330.23566937446594
gru,6,200,0.2,True,3.2514062848474055,0.7454128440366973,0.7146529562982005,613.4011127948761
gru,6,200,0.5,False,2.8501080255942464,0.7568807339449541,0.7253886010362695,329.7136526107788
gru,6,200,0.5,True,3.2320753149688164,0.7442660550458715,0.712998712998713,614.0098347663879
gru,6,200,0.8,False,3.01817000657318,0.7591743119266054,0.7575057736720554,329.43289041519165
gru,6,200,0.8,True,2.549873294573217,0.7603211009174312,0.7454323995127893,614.4385259151459
lstm,6,200,0.2,False,2.9303455214414873,0.7522935779816514,0.7313432835820896,355.11761116981506
lstm,6,200,0.2,True,2.788265651088815,0.7545871559633027,0.718421052631579,691.9652988910675
lstm,6,200,0.5,False,3.094268535396781,0.7591743119266054,0.717741935483871,355.03719568252563
lstm,6,200,0.5,True,3.053157463669769,0.7649082568807339,0.7434292866082604,691.5781946182251
lstm,6,200,0.8,False,2.998161884822975,0.7465596330275229,0.7184713375796178,356.28098011016846
lstm,6,200,0.8,True,2.316800528338977,0.7557339449541285,0.7230169050715215,691.4343008995056
rnn,6,400,0.2,False,1.865431170532247,0.7431192660550459,0.7090909090909091,288.5732226371765
rnn,6,400,0.2,True,2.36394409778807,0.7557339449541285,0.7251612903225807,547.505916595459
rnn,6,400,0.5,False,2.139389657679463,0.7672018348623854,0.7527405602923264,279.52971744537354
rnn,6,400,0.5,True,0.7609204139028277,0.6215596330275229,0.47619047619047616,537.5808579921722
rnn,6,400,0.8,False,0.6937131604978016,0.5091743119266054,0.0,277.28799700737
rnn,6,400,0.8,True,0.6978633254766464,0.5091743119266054,0.0,532.9277937412262
gru,6,400,0.2,False,3.090604916780389,0.75,0.7093333333333334,703.588187456131
gru,6,400,0.2,True,2.7776413304410914,0.7580275229357798,0.7345911949685534,1483.3774197101593
gru,6,400,0.5,False,2.877830886880734,0.7522935779816514,0.7230769230769231,677.5837824344635
gru,6,400,0.5,True,3.2652548146600435,0.7511467889908257,0.7185473411154345,1430.6150670051575
gru,6,400,0.8,False,3.7341394412251248,0.7488532110091743,0.7052489905787349,687.2963523864746
gru,6,400,0.8,True,3.0895807801612256,0.7408256880733946,0.7182044887780549,1409.9536061286926
lstm,6,400,0.2,False,3.071803256869316,0.7442660550458715,0.7115135834411385,982.3606328964233
lstm,6,400,0.2,True,3.5338845316852843,0.7649082568807339,0.7447073474470735,1994.3915781974792
lstm,6,400,0.5,False,3.411414752574111,0.7350917431192661,0.6676258992805756,930.8678042888641
lstm,6,400,0.5,True,3.288988725415297,0.7603211009174312,0.7371069182389937,2125.0328130722046
lstm,6,400,0.8,False,2.9150470516792018,0.7580275229357798,0.7305236270753512,939.0541181564331
lstm,6,400,0.8,True,3.0096596894519263,0.7568807339449541,0.7225130890052356,1985.256487607956
rnn,8,150,0.2,False,2.3411374650895596,0.7327981651376146,0.6750348675034867,210.98905444145203
rnn,8,150,0.2,True,2.134261637393917,0.7534403669724771,0.7329192546583851,325.9726445674896
rnn,8,150,0.5,False,2.520692656068994,0.7465596330275229,0.7274969173859432,240.57305121421814
rnn,8,150,0.5,True,2.659815793057078,0.7511467889908257,0.7317676143386898,348.2166495323181
rnn,8,150,0.8,False,0.6935308575630188,0.5091743119266054,0.0,232.42630410194397
rnn,8,150,0.8,True,0.6935787115778241,0.5091743119266054,0.0,366.11405086517334
gru,8,150,0.2,False,2.6385421277955174,0.7614678899082569,0.7346938775510204,395.2048261165619
gru,8,150,0.2,True,2.890381402203015,0.7580275229357798,0.737888198757764,754.6946108341217
gru,8,150,0.5,False,3.1774452264814306,0.7282110091743119,0.6844207723035952,467.35150504112244
gru,8,150,0.5,True,3.127362278423066,0.7477064220183486,0.7120418848167539,851.41211104393
gru,8,150,0.8,False,2.835103114800599,0.7649082568807339,0.7478474784747847,433.7646973133087
gru,8,150,0.8,True,2.886853042989823,0.7603211009174312,0.7416563658838071,805.846277475357
lstm,8,150,0.2,False,2.657465417460441,0.7626146788990825,0.7484811664641555,520.3073227405548
lstm,8,150,0.2,True,2.4514354233230864,0.7442660550458715,0.7077326343381389,779.0647139549255
lstm,8,150,0.5,False,2.9364060759544373,0.7488532110091743,0.7122207621550591,405.4821629524231
lstm,8,150,0.5,True,3.0968148021825073,0.7568807339449541,0.7433414043583535,955.5199022293091
lstm,8,150,0.8,False,2.9587798125242637,0.7603211009174312,0.7209612817089452,510.97134494781494
lstm,8,150,0.8,True,3.0364847183227375,0.7545871559633027,0.7291139240506329,872.518369436264
rnn,8,200,0.2,False,2.413791993801819,0.7580275229357798,0.7365792759051186,282.06026792526245
rnn,8,200,0.2,True,2.408255608154182,0.7454128440366973,0.704,531.8209397792816
rnn,8,200,0.5,False,2.036406461890562,0.7637614678899083,0.739240506329114,302.0187005996704
rnn,8,200,0.5,True,2.4196763889163515,0.7488532110091743,0.7245283018867924,496.40873074531555
rnn,8,200,0.8,False,0.6934932406459536,0.5091743119266054,0.0,302.44677352905273
rnn,8,200,0.8,True,0.6956261779580798,0.5091743119266054,0.0,472.26862359046936
gru,8,200,0.2,False,2.557292252127159,0.7591743119266054,0.7272727272727273,483.02053141593933
gru,8,200,0.2,True,2.8527647964640925,0.7626146788990825,0.7472527472527473,971.5795896053314
gru,8,200,0.5,False,2.831050441714459,0.7660550458715596,0.7417721518987341,623.8303995132446
