rnn_type,lr,num_layers,hidden_size,dropout,optimizer,loss,acc,f1,training_time
rnn,0.001,4,150,0.2,rmsprop,0.7088466797556195,0.5068807339449541,0.2611683848797251,124.92383933067322
rnn,0.001,4,150,0.2,sgd,0.6937203130551747,0.5091743119266054,0.0,90.6381311416626
rnn,0.001,4,150,0.5,adam,0.6929508362497602,0.5091743119266054,0.0,161.0333936214447
rnn,0.001,4,150,0.5,rmsprop,0.6942800326006753,0.5091743119266054,0.0,143.6416883468628
rnn,0.001,4,150,0.5,sgd,0.6940963736602238,0.5091743119266054,0.0,108.89189028739928
rnn,0.001,4,150,0.8,adam,0.6862675419875554,0.5091743119266054,0.0,188.43848967552185
rnn,0.001,4,150,0.8,rmsprop,0.705933113183294,0.5091743119266054,0.0,153.7512924671173
rnn,0.001,4,150,0.8,sgd,0.6934053174086979,0.5091743119266054,0.0,108.2404282093048
rnn,0.001,4,200,0.2,adam,0.694362114582743,0.5091743119266054,0.0,209.69823241233823
rnn,0.001,4,200,0.2,rmsprop,0.7029792261975152,0.5091743119266054,0.0,181.53876543045044
rnn,0.001,4,200,0.2,sgd,0.6941633139337812,0.5091743119266054,0.0,106.8807406425476
rnn,0.001,4,200,0.5,adam,0.7020569358553205,0.5091743119266054,0.0,192.5225622653961
rnn,0.001,4,200,0.5,rmsprop,0.6941841010536466,0.5091743119266054,0.0,173.12929844856262
rnn,0.001,4,200,0.5,sgd,0.6943731584719249,0.5091743119266054,0.0,125.05337429046632
rnn,0.001,4,200,0.8,adam,0.6960995367595127,0.5091743119266054,0.0,184.5340483188629
rnn,0.001,4,200,0.8,rmsprop,0.6953390006508146,0.5091743119266054,0.0,145.98855328559875
rnn,0.001,4,200,0.8,sgd,0.693469056061336,0.5091743119266054,0.0,112.04961895942688
rnn,0.001,4,400,0.2,adam,0.6947012564965657,0.5091743119266054,0.0,314.7698214054108
rnn,0.001,4,400,0.2,rmsprop,0.7160636058875492,0.5091743119266054,0.0,488.9244878292084
rnn,0.001,4,400,0.2,sgd,0.6943635046482086,0.5091743119266054,0.0,165.3657419681549
rnn,0.001,4,400,0.5,adam,0.7168575205973217,0.5091743119266054,0.0,303.4250900745392
rnn,0.001,4,400,0.5,rmsprop,0.7088389630828585,0.5091743119266054,0.0,444.7667527198792
rnn,0.001,4,400,0.5,sgd,0.6937179565429688,0.5091743119266054,0.0,170.8249888420105
rnn,0.001,4,400,0.8,adam,0.7239889193858419,0.5091743119266054,0.0,292.4374883174896
rnn,0.001,4,400,0.8,rmsprop,0.7309429900986808,0.5091743119266054,0.0,238.59519839286804
rnn,0.001,4,400,0.8,sgd,0.6929215043783188,0.5091743119266054,0.0,181.79568147659305
rnn,0.0001,2,150,0.2,adam,0.713396960071155,0.6123853211009175,0.4878787878787878,162.68689846992493
rnn,0.0001,2,150,0.2,rmsprop,0.7803493046334812,0.6227064220183486,0.5183016105417276,119.1745581626892
rnn,0.0001,2,150,0.2,sgd,0.693506753870419,0.5091743119266054,0.0,73.24698853492737
rnn,0.0001,2,150,0.5,adam,0.7180996856519154,0.6318807339449541,0.5691275167785235,137.2747573852539
rnn,0.0001,2,150,0.5,rmsprop,0.7222344460231918,0.6456422018348624,0.6351829988193625,109.30775141716003
rnn,0.0001,2,150,0.5,sgd,0.6929250402109963,0.5091743119266054,0.0,76.28661966323853
rnn,0.0001,2,150,0.8,adam,0.7015423593776566,0.658256880733945,0.5983827493261455,140.73614072799683
rnn,0.0001,2,150,0.8,rmsprop,0.8685421954308238,0.6536697247706422,0.5597667638483965,111.83591437339784
rnn,0.0001,2,150,0.8,sgd,0.6938366506780896,0.5091743119266054,0.0,73.99478578567505
rnn,0.0001,2,200,0.2,adam,0.8790485316089222,0.6651376146788991,0.5977961432506887,141.83004522323608
rnn,0.0001,2,200,0.2,rmsprop,1.113136432000569,0.6559633027522935,0.5967741935483871,108.7109272480011
rnn,0.0001,2,200,0.2,sgd,0.6932024125541959,0.5091743119266054,0.0,75.57921504974365
rnn,0.0001,2,200,0.5,adam,0.7348134964704514,0.6594036697247706,0.5834502103786816,155.51508951187134
rnn,0.0001,2,200,0.5,rmsprop,0.8504888809153012,0.6479357798165137,0.5890227576974565,116.1017017364502
rnn,0.0001,2,200,0.5,sgd,0.6932144186326435,0.5091743119266054,0.0,82.89637756347656
rnn,0.0001,2,200,0.8,adam,0.8662071323820523,0.6777522935779816,0.6134800550206327,158.26436352729797
rnn,0.0001,2,200,0.8,rmsprop,0.6807149574160576,0.7087155963302753,0.6768447837150128,117.6876871585846
rnn,0.0001,2,200,0.8,sgd,0.6934993309634072,0.5091743119266054,0.0,74.21323251724243
rnn,0.0001,2,400,0.2,adam,0.9291940661413328,0.6880733944954128,0.6658476658476659,174.0815029144287
rnn,0.0001,2,400,0.2,rmsprop,0.7748077176511288,0.6731651376146789,0.5945945945945946,142.7686264514923
rnn,0.0001,2,400,0.2,sgd,0.6933131345680782,0.5091743119266054,0.0,2965.507313013077
